,UNIT,IN,OUT,COORDS
356,R368,26748.0,24178.0,"[40.646343, -73.994551]"
357,R369,21205.0,12128.0,"[40.640871999999995, -73.994229]"
358,R370,27304.0,9460.0,"[40.619588, -73.99884200000001]"
359,R371,30070.0,9424.0,"[40.613513, -74.00064499999999]"
360,R372,26724.0,7407.0,"[40.607958, -74.00178199999999]"
361,R373,22304.0,7985.0,"[40.604797999999995, -73.998456]"
362,R374,37187.0,29956.0,"[40.601898, -73.993821]"
363,R375,25143.0,20954.0,"[40.658747999999996, -73.899472]"
364,R376,18491.0,15855.0,"[40.650625, -73.899558]"
365,R377,39665.0,12442.0,"[40.700244, -73.94165799999999]"
366,R378,51412.0,29353.0,"[40.697266, -73.935692]"
367,R379,22727.0,8299.0,"[40.693329, -73.928826]"
368,R380,29139.0,11334.0,"[40.689652, -73.92228100000001]"
369,R381,28716.0,12107.0,"[40.686170000000004, -73.916337]"
370,R382,35699.0,22511.0,"[40.677107, -73.865376]"
371,R383,6741.0,589.0,"[40.679369, -73.85896]"
372,R384,18320.0,5173.0,"[40.679857, -73.85149200000001]"
373,R385,36103.0,9801.0,"[40.680429, -73.843853]"
374,R386,28256.0,22981.0,"[40.837382, -73.887659]"
375,R387,35790.0,21876.0,"[40.840097, -73.879774]"
376,R388,34467.0,25143.0,"[40.841882, -73.873551]"
377,R389,13494.0,5024.0,"[40.848797, -73.868465]"
378,R390,62465.0,47250.0,"[40.635011, -74.011717]"
379,R391,8087.0,19520.0,"[40.631428, -74.005387]"
380,R392,10114.0,17890.0,"[40.620728, -73.990388]"
381,R393,6613.0,1076.0,"[40.617373, -73.985088]"
382,R394,50180.0,29384.0,"[40.612006, -73.98200899999999]"
383,R395,7056.0,15646.0,"[40.603967, -73.98066800000001]"
384,R396,6472.0,11266.0,"[40.597482, -73.979359]"
385,R397,6114.0,4453.0,"[40.592676000000004, -73.978243]"
386,R398,26315.0,21544.0,"[40.625419, -73.99663199999999]"
387,R399,31514.0,5944.0,"[40.597873, -73.98695500000001]"
388,R400,14807.0,3661.0,"[40.588879, -73.98362900000001]"
389,R401,17844.0,15240.0,"[40.697672999999995, -73.927131]"
390,R402,12634.0,11271.0,"[40.702798, -73.907776]"
391,R403,20564.0,13478.0,"[40.704423999999996, -73.903077]"
392,R404,28559.0,26033.0,"[40.706181, -73.89591]"
393,R405,26960.0,4484.0,"[40.816505, -73.907797]"
394,R406,36403.0,9089.0,"[40.819396000000005, -73.90146700000001]"
395,R407,16007.0,14522.0,"[40.822171999999995, -73.89674699999999]"
396,R408,44195.0,7370.0,"[40.82417, -73.89322800000001]"
397,R409,23273.0,17020.0,"[40.829966, -73.891876]"
398,R411,8345.0,9365.0,"[40.67491, -73.95779399999999]"
399,R412,7809.0,9799.0,"[40.670499, -73.958759]"
400,R413,18655.0,17419.0,"[40.698665999999996, -73.919685]"
401,R414,10185.0,2210.0,"[40.660476, -73.830301]"
402,R415,1569.0,361.0,"[40.608693, -73.816068]"
403,R416,3827.0,3041.0,"[40.588032, -73.813684]"
404,R417,2500.0,2189.0,"[40.585514, -73.820143]"
405,R418,1247.0,1254.0,"[40.583542, -73.82643]"
406,R419,2805.0,3255.0,"[40.580453999999996, -73.837459]"
407,R420,12999.0,8734.0,"[40.63615, -73.978179]"
408,R421,6837.0,7619.0,"[40.625305, -73.975732]"
409,R422,7603.0,2828.0,"[40.620907, -73.975453]"
410,R423,16835.0,10205.0,"[40.615173999999996, -73.974166]"
411,R424,13139.0,6186.0,"[40.609147, -73.97298599999999]"
412,R425,13458.0,3759.0,"[40.596065, -73.973329]"
413,R426,8249.0,2427.0,"[40.580991999999995, -73.974531]"
414,R427,9840.0,8574.0,"[40.843635, -73.836687]"
415,R428,16379.0,14272.0,"[40.846817, -73.832545]"
416,R429,29920.0,18842.0,"[40.852465, -73.828125]"
417,R430,15684.0,10031.0,"[40.858973, -73.855355]"
418,R431,22833.0,19541.0,"[40.888244, -73.83085]"
419,R432,14838.0,6312.0,"[40.682867, -73.91048]"
420,R433,11513.0,10816.0,"[40.677107, -73.898871]"
421,R434,13931.0,12381.0,"[40.678018, -73.891726]"
422,R435,16063.0,13964.0,"[40.679938, -73.884687]"
423,R436,16851.0,15572.0,"[40.681598, -73.880074]"
424,R437,23116.0,22017.0,"[40.683209000000005, -73.873765]"
425,R438,26284.0,11563.0,"[40.678815, -73.920801]"
426,R439,26188.0,14278.0,"[40.67836, -73.911939]"
427,R440,13420.0,5765.0,"[40.674552, -73.89655400000001]"
428,R441,15204.0,12363.0,"[40.672786, -73.890438]"
429,R442,16489.0,7066.0,"[40.674161, -73.88076099999999]"
430,R443,32736.0,14346.0,"[40.839301, -73.91335500000001]"
431,R444,17263.0,6084.0,"[40.898382, -73.854389]"
432,R445,35822.0,23400.0,"[40.810512, -73.926165]"
433,R446,28780.0,23486.0,"[40.808044, -73.919234]"
434,R447,18018.0,10864.0,"[40.805737, -73.91447099999999]"
435,R448,5714.0,6043.0,"[40.808741999999995, -73.90769]"
436,R449,22286.0,18533.0,"[40.812104, -73.904085]"
437,R450,15497.0,13054.0,"[40.816083, -73.89605999999999]"
438,R451,33294.0,7403.0,"[40.656648, -73.950198]"
439,R452,161114.0,143093.0,"[40.778575, -73.981912]"
440,R453,46371.0,52547.0,"[40.742981, -73.992727]"
441,R454,4472.0,16417.0,"[40.665405, -73.99287700000001]"
442,R455,3657.0,8272.0,"[40.66043, -73.99794399999999]"
443,R456,19706.0,25550.0,"[40.690545, -73.985065]"
