index,IN,lat,lon
313,79377.0,40.802098,-73.949625
314,11020.0,40.826508,-73.886425
315,12127.0,40.83646,-73.846471
316,42161.0,40.744103,-73.912497
317,20703.0,40.754622,-73.845625
318,13727.0,40.854137,-73.860977
319,48113.0,40.733243,-73.987169
320,17751.0,40.830551,-73.941486
321,35364.0,40.817902,-73.947644
322,46527.0,40.805072,-73.954833
323,46823.0,40.800637,-73.958201
324,14853.0,40.590867,-73.797011
325,16000.0,40.592334,-73.788493
326,4271.0,40.593214,-73.776433
327,6474.0,40.595381,-73.768194
328,27460.0,40.75202,-73.92874
329,24116.0,40.749663,-73.898485
330,22740.0,40.718477,-73.837223
331,30836.0,40.702566,-73.816859
332,33860.0,40.719323,-74.006953
333,19340.0,40.820402,-73.936315
334,21276.0,40.823877,-73.936443
335,27252.0,40.747029,-73.94537
336,32246.0,40.746325,-73.896403
337,9363.0,40.675496,-73.902819
338,30217.0,40.669376,-73.902047
339,21255.0,40.663801,-73.900444
340,17541.0,40.706994,-73.953481
341,31212.0,40.703855,-73.947387
342,13111.0,40.681745,-73.837631
343,2084.0,40.684364,-73.832181
344,52777.0,40.685975,-73.824713
345,7185.0,40.668234,-73.834058
346,12436.0,40.600138,-73.76152
347,106192.0,40.747257,-73.945112
348,10355.0,40.743973,-73.949876
349,60466.0,40.857188,-73.867607
350,35612.0,40.865481,-73.867393
351,22167.0,40.871387,-73.867135
352,48202.0,40.877796,-73.866255
353,21847.0,40.883767,-73.862736
354,28182.0,40.887887,-73.860505
355,34549.0,40.893386,-73.857265
356,37001.0,40.646343,-73.994551
357,28449.0,40.640872,-73.994229
358,41124.0,40.619588,-73.998842
359,43965.0,40.613513,-74.000645
360,40259.0,40.607958,-74.001782
361,33654.0,40.604798,-73.998456
362,50794.0,40.601898,-73.993821
363,33553.0,40.658748,-73.899472
364,24389.0,40.650625,-73.899558
365,57443.0,40.700244,-73.941658
366,73139.0,40.697266,-73.935692
367,32809.0,40.693329,-73.928826
368,41704.0,40.689652,-73.922281
369,41027.0,40.68617,-73.916337
370,53126.0,40.677107,-73.865376
371,8793.0,40.679369,-73.85896
372,22937.0,40.679857,-73.851492
373,47317.0,40.680429,-73.843853
374,31763.0,40.837382,-73.887659
375,50217.0,40.840097,-73.879774
376,46045.0,40.841882,-73.873551
377,17692.0,40.848797,-73.868465
378,91969.0,40.635011,-74.011717
379,11355.0,40.631428,-74.005387
380,14135.0,40.620728,-73.990388
381,8720.0,40.617373,-73.985088
382,68301.0,40.612006,-73.982009
383,9766.0,40.603967,-73.980668
384,9242.0,40.597482,-73.979359
385,8746.0,40.592676,-73.978243
386,35836.0,40.625419,-73.996632
387,41458.0,40.597873,-73.986955
388,19733.0,40.588879,-73.983629
389,23413.0,40.697673,-73.927131
390,16591.0,40.702798,-73.907776
391,26158.0,40.704424,-73.903077
392,36183.0,40.706181,-73.89591
393,37011.0,40.816505,-73.907797
394,50742.0,40.819396,-73.901467
395,22020.0,40.822172,-73.896747
396,62497.0,40.82417,-73.893228
397,31957.0,40.829966,-73.891876
398,11502.0,40.67491,-73.957794
399,10868.0,40.670499,-73.958759
400,25579.0,40.698666,-73.919685
401,14549.0,40.660476,-73.830301
402,1902.0,40.608693,-73.816068
403,5111.0,40.588032,-73.813684
404,3218.0,40.585514,-73.820143
405,1508.0,40.583542,-73.82643
