,UNIT,IN,OUT,COORDS
415,R428,14758.0,14093.0,"[40.846817, -73.832545]"
416,R429,30103.0,18958.0,"[40.852465, -73.828125]"
417,R430,14260.0,9458.0,"[40.858973, -73.855355]"
418,R431,20489.0,18818.0,"[40.888244, -73.83085]"
419,R432,13865.0,6222.0,"[40.682867, -73.91048]"
420,R433,10812.0,10234.0,"[40.677107, -73.898871]"
421,R434,12745.0,12248.0,"[40.678018, -73.891726]"
422,R435,14693.0,13809.0,"[40.679938, -73.884687]"
423,R436,15454.0,15385.0,"[40.681598, -73.880074]"
424,R437,20996.0,21887.0,"[40.683209000000005, -73.873765]"
425,R438,24510.0,11208.0,"[40.678815, -73.920801]"
426,R439,24262.0,13802.0,"[40.67836, -73.911939]"
427,R440,12582.0,5645.0,"[40.674552, -73.89655400000001]"
428,R441,14045.0,12301.0,"[40.672786, -73.890438]"
429,R442,15130.0,7043.0,"[40.674161, -73.88076099999999]"
430,R443,30325.0,13927.0,"[40.839301, -73.91335500000001]"
431,R444,15754.0,5923.0,"[40.898382, -73.854389]"
432,R445,33388.0,22950.0,"[40.810512, -73.926165]"
433,R446,27161.0,22843.0,"[40.808044, -73.919234]"
434,R447,17113.0,10030.0,"[40.805737, -73.91447099999999]"
435,R448,5499.0,5649.0,"[40.808741999999995, -73.90769]"
436,R449,20607.0,17948.0,"[40.812104, -73.904085]"
437,R450,14625.0,12448.0,"[40.816083, -73.89605999999999]"
438,R451,31317.0,6923.0,"[40.656648, -73.950198]"
439,R452,157292.0,139931.0,"[40.778575, -73.981912]"
440,R453,46491.0,53063.0,"[40.742981, -73.992727]"
441,R454,4442.0,16307.0,"[40.665405, -73.99287700000001]"
442,R455,3691.0,8359.0,"[40.66043, -73.99794399999999]"
443,R456,19708.0,25846.0,"[40.690545, -73.985065]"
444,R460,58583.0,41453.0,"[40.708377, -73.957751]"
445,R461,98768.0,124604.0,"[40.725297, -73.996204]"
